연번,회사명,청끌기업분야,업종(대분류),기업규모,평균초임(천원),평균연봉(천원),'25.매출액(백만원),직원수(계),직원수(정규직),직원수(비정규직),워라밸(10점 만점),워라밸 선택항목,직무교육(6점 만점),직무교육 선택항목,복리후생(12점 만점),복리후생 선택항목,소재지,주요제품/서비스,비고(주요 인증제도 등)
1,(주)동화뉴텍,급여,제조업,중견기업,"3,170","58,000","93,538",118,118,0,7,"②근로자 평균 연차 활용률(90% 이상), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도, ⑨직장 어린이집 설치",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",10,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원",강서구,"공기,가스 압축기",선도기업
2,(주)동화엔텍,급여,제조업,중견기업,"4,000","70,000","331,590",248,241,7,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도, ⑨직장 어린이집 설치",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",12,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",강서구,열교환기 및 시스템 UNIT,"여가친화, 고용우수, 청년친화, 가족친화 등"
3,(주)디알액시온,복지,제조업,중견기업,"3,566","53,000","278,461",286,249,37,5,"②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",7,"①4대보험 가입, ②퇴직연금, ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원",기장군,자동차 차체용 신품부품 제조업,뿌리기업
4,(주)바이넥스,복지,제조업,중견기업,"2,417","52,000","150,000",805,805,0,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ②근로자 평균 연차 활용률(90% 이상), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ⑤사내동호회 운영",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",사하구,"점안제, 고형제, 원료의약품",청년고용우수
5,(주)삼공사,급여,제조업,중견기업,"2,971","58,370","147,500",153,144,9,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등)",9,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑫통신비 지원",강서구,선박구성부분품 제조업,선도기업
6,(주)오리엔탈정공,미래,제조업,중견기업,"3,340","77,450","95,760",125,124,1,4,"④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",12,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",강서구,선박구성부분품,워라밸우수기업
7,(주)태광,복지,제조업,중견기업,"2,440","83,000","265,643",365,339,26,2,"④여성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상)",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ⑤사내동호회 운영",11,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑫통신비 지원",강서구,"벤드,철파이프관이음쇠","우수기업, 가족친화"
8,(주)파나시아,급여,제조업,중견기업,"3,083","59,000","195,251",364,341,23,7,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도, ⑨직장 어린이집 설치",4,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",10,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑫통신비 지원",강서구,선박구성부분품 제작,"고용우수, 가족친화"
9,SB선보(주),복지,제조업,중견기업,"3,250","50,213","209,345",428,428,0,6,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ③재택근무 제도, ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",5,"①직장 내 교육훈련(OJT), ②외부기관 위탁교육(연수기관 방문, 강습, 강연 등), ③해외연수/워크샵, ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",11,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급",사하구,FGSS,"가족친화, 청년친화, 고용우수"
10,윌로펌프(주),워라밸,제조업,중견기업,"2,920","70,000","233,419",362,351,11,5,"①유연근무제(탄력적 근로시간제, 시차출퇴근제 등), ④여성 근로자 육아휴직제도, ⑤남성 근로자 육아휴직제도, ⑥배우자 출산휴가(10일 이상), ⑦가족돌봄 휴직 및 휴가제도",3,"①직장 내 교육훈련(OJT), ④자기계발비 지원(도서구입비, 교육비 지원 등), ⑤사내동호회 운영",12,"①4대보험 가입, ②퇴직연금, ③인센티브제(성과급), ④야근/휴일수당, ⑤장기근속자 포상, ⑥주택자금 대출, ⑦자녀 학자금 지원, ⑧차량 유지비 지원, ⑨휴양/레저 지원, ⑩의료비 지원, ⑪체력단련비 지급, ⑫통신비 지원",강서구,펌프,"가족친화, 워라밸우수"
